       IVS Analysis Report for R11028 ($21DEC06XA)
       This report is the official IVS analysis report that corresponds to
       the database maintained by the IVS Data Centers for this session.
   (Analyzed by Sergei Bolotin, NVI, Inc. / NASA Goddard Space Flight Center.
    Spoolfile source: interactive solve/nuSolve analysis.)

Problems: AGGO     Diskpack failure (15:04-16:52), cannot access the data any more. Hence,
                   data transfer was not possible. Correlated without the station.
          ISHIOKA  Power failure (16:46-16:58) but log looks good.
          KOKEE    Resync gps at 18:03. Power flicker (04:48).
          NYALES20 Off-source due to wind gusts up to 17 m/s.
          NYALE13S Phasecal not available
          RAEGSMAR Late start at 18:18.
          SESHAN25 Other commitment (02:48-06:40). Antenna stuck (16:07-17:00).
          S-band has subambigities at RAEGSMAR baselines, a new version will bre released.

Parameterization comments: None.

Other comments: None.

-----------------------------------------

Session statistics

  Observations:    13281 scheduled
                   12026 correlated (in database)
                   10917 recoverable (usable)
                   10355 used
  Session fit:        34.397 ps

-----------------------------------------

Station Performance

                           Number of Observations

                    Scheduled   Recoverable*        Used   % of scheduled
                                                              obs used

  AGGO                    747      NOT CORR     NOT CORR         0.0%
  BADARY                 2412          2263         2204        91.4%
  HART15M                1123           711          668        59.5%
  ISHIOKA                2325          2055         1996        85.8%
  KOKEE                  1480          1206         1150        77.7%
  MATERA                 2233          1757         1653        74.0%
  NYALE13S               1531          1440         1395        91.1%
  NYALES20               2491          1940         1883        75.6%
  RAEGSMAR               1997          1612         1190        59.6%
  SEJONG                 1613          1385         1375        85.2%
  SESHAN25               2347          1745         1698        72.3%
  SVETLOE                1555          1452         1391        89.5%
  WETTZELL               2390          2194         2098        87.8%
  ZELENCHK               2318          2074         2009        86.7%
  ---------------   ---------   -----------    ---------       ------
  Station Total**       13281         10917        10355        78.0%

  * Recoverable: can be included in the solution.
  ** Total includes distinct observations only.

  MISSED:    Station was scheduled, but it did not observe.
  NOT CORR:  Station was scheduled but not correlated.
  NOT USED:  Usable data was generated for this station,
             but the analyst rejected it all.

-----------------------------------------

Source Performance

                    Number of Observations

                Scheduled  Correlated*    Used      % of scheduled
                                                       obs used

  M84                   5           5        5          100.0%
  1519-294              5           3        3           60.0%
  0809-493              1           1        0            0.0%
  2326-477             31          11        8           25.8%
  0802-010             13          13       13          100.0%
  3C309.1             189         167      117           61.9%
  1936+046            111         105       35           31.5%
  0302+625             86          81       58           67.4%
  1606-398              9           8        3           33.3%
  1851+488            372         347      250           67.2%
  0003-066            102          89       79           77.5%
  0119+115            171         167      140           81.9%
  0133+476            473         438      397           83.9%
  CTA26                49          49       40           81.6%
  0402-362             58          35       34           58.6%
  0454+844             63          56       48           76.2%
  0537-441             42          23       13           31.0%
  0552+398            527         513      473           89.8%
  0727-115            283         213      191           67.5%
  0743+259             12          12        9           75.0%
  OJ287               617         591      542           87.8%
  1034-293             19          19       15           78.9%
  1057-797             32           0        0            0.0%
  1144-379             73          32       23           31.5%
  1334-127            259         190      184           71.0%
  1417+385             52          48       38           73.1%
  1749+096            285         246      235           82.5%
  1921-293             55          39       35           63.6%
  3C418              1290        1235     1130           87.6%
  2052-474             32           3        2            6.2%
  2113+293            334         332      286           85.6%
  2255-282             39          28       24           61.5%
  0515+208             48          48       43           89.6%
  0613+570            932         912      807           86.6%
  0800+618            111         104       80           72.1%
  0912+029             75          75       67           89.3%
  0920+390             34          34       30           88.2%
  1013+054              9           9        7           77.8%
  1145+268             27          27       22           81.5%
  1149-084            230         169      163           70.9%
  1244-255             80          68       63           78.8%
  1636+473            140         131      114           81.4%
  1639+230            188         174      113           60.1%
  1846+322            235         230      210           89.4%
  1909+161             42          42       33           78.6%
  2229+695            688         664      588           85.5%
  0019+058             41          41       29           70.7%
  0055-059              5           5        5          100.0%
  0215+015            347         271      237           68.3%
  0340+362            140         140       90           64.3%
  0748+126            193         193      173           89.6%
  1040+244            165         160      151           91.5%
  1053+704            731         715      538           73.6%
  1144+402            694         632      590           85.0%
  1306+360             41          41       36           87.8%
  1616+063             74          62       51           68.9%
  2059+034            152         136      123           80.9%
  2214+350             34          28       15           44.1%
  0115-214             47          44       30           63.8%
  0239+175              6           6        4           66.7%
  0537-286            109          64       51           46.8%
  0632-235             75          63       51           68.0%
  0920-397             11          11        6           54.5%
  1406-267              3           2        2           66.7%
  1656-075              7           7        5           71.4%
  1759-396             48          29       23           47.9%
  2008-159            234         152      126           53.8%
  2208-137             13          11        8           61.5%
  0308-611             40           0        0            0.0%
  1502+036             66          54       44           66.7%
  1657-261              3           0        0            0.0%
