## Master file format version 1.0           2001.08.21 CCT&NRV

                         2021 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 16, 2021 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|IN221-003     |Q21003|JAN03|  3|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-004     |Q21004|JAN04|  4|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-004     |I21004|JAN04|  4|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21004    |V21004|JAN04|  4|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1004    |B21004|JAN04|  4|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-005     |I21005|JAN05|  5|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-007     |I21007|JAN07|  7|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-008     |I21008|JAN08|  8|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-009     |Q21009|JAN09|  9|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-010     |Q21010|JAN10| 10|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-011     |Q21011|JAN11| 11|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-011     |I21011|JAN11| 11|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21011    |V21011|JAN11| 11|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1011    |B21011|JAN11| 11|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-012     |I21012|JAN12| 12|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-013     |I21013|JAN13| 13|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-014     |I21014|JAN14| 14|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-015     |I21015|JAN15| 15|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-016     |Q21016|JAN16| 16|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-017     |Q21017|JAN17| 17|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-018     |Q21018|JAN18| 18|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-018     |I21018|JAN18| 18|18:30|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-B1018    |B21018|JAN18| 18|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-019     |I21019|JAN19| 19|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21019    |V21019|JAN19| 19|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-021     |I21021|JAN21| 21|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-022     |I21022|JAN22| 22|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-023     |Q21023|JAN23| 23|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-024     |Q21024|JAN24| 24|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-025     |Q21025|JAN25| 25|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-025     |I21025|JAN25| 25|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21025    |V21025|JAN25| 25|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-026     |I21026|JAN26| 26|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-027     |I21027|JAN27| 27|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-028     |I21028|JAN28| 28|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-029     |I21029|JAN29| 29|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-030     |Q21030|JAN30| 30|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-031     |Q21031|JAN31| 31|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
------------------------------------------------------------------------------------------------------------------------------
|IN321-032     |Q21032|FEB01| 32|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-032     |I21032|FEB01| 32|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21032    |V21032|FEB01| 32|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-033     |I21033|FEB02| 33|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-035     |I21035|FEB04| 35|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-B1035    |B21035|FEB04| 35|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-036     |I21036|FEB05| 36|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-037     |Q21037|FEB06| 37|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-038     |Q21038|FEB07| 38|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-039     |Q21039|FEB08| 39|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|IN121-039     |I21039|FEB08| 39|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21039    |V21039|FEB08| 39|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-040     |I21040|FEB09| 40|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-041     |I21041|FEB10| 41|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-042     |I21042|FEB11| 42|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21042    |V21042|FEB11| 42|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1042    |B21042|FEB11| 42|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-043     |I21043|FEB12| 43|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-044     |Q21044|FEB13| 44|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-045     |Q21045|FEB14| 45|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
